gene_name,log2_mod_coefs,log_fdr_adj_p
Hipk3,1.3877201609987806,2.2351363910026696
Aldh6a1,1.6601502513068367,2.554054516847992
Hr,-1.6411590787064594,1.0109900475698466
Grk5,1.3519147593119174,2.145042454122067
Ccdc39,1.2999243018444058,2.785373805002685
Vill,1.9588023384621736,2.0660965303442094
Tbck,-1.2008436529034061,4.125758010776746
R3hdm4,-1.1795407730733705,2.701308780034491
Psip1,1.7244682489582808,1.4313332071970997
Agk,2.5879363060429776,1.033153500553623
Tnfrsf21,-1.3091902273419282,3.0627304502070483
Gcsh,1.1244541791699545,1.5630267347685343
Slitrk2,-1.7012273086658736,1.8383973797610178
Gpatch1,1.8501367642539186,1.4437927937135557
Rnf146,-1.0782826454164005,2.3081121062912
Lrp10,-1.744285471576335,1.597803375307597
Cab39l,-2.4821155272330877,1.2969174392004983
Ppip5k2,-1.9762815217112695,1.342968413238367
Rab3c,-1.2540353276894585,1.9305844501425664
Washc2c,-1.1448898390029603,2.403359827636622
Auh,1.7550953093791248,1.1724151837817418
Lifr,1.883526404863752,1.1860437866693738
Degs2,1.5453081466855294,1.3125391144548395
Fto,-1.2454398695648756,1.5459221505171663
Psma1,-1.4720814051202642,2.298108155275966
Ncdn,-1.1108635130909716,3.935818802013827
Sh3d19,1.0929803366696695,2.1591431680665654
Serp1,1.9304408512092075,1.3534658361916274
Spag5,2.2020994723542775,1.0033768749652336
Oplah,-1.5602249990572574,1.1035764266162527
Tcea3,1.9320743670767604,2.614867845563934
